Layer,Baseline,Conditional
1,3.556020851200686,3.552480602755146
2,3.6057384353559176,3.5710717229041595
3,3.6356153013775727,3.5833063927154805
4,3.640630443959048,3.6116070232096913
5,3.649971440153302,3.6055579471751713
6,3.643436595465266,3.6055579471751713
7,3.6514911422598626,3.6242805598734993
8,3.6660884902980273,3.604925610393439
9,3.6316273919918527,3.6058921225075045
10,3.646228090158662,3.6146887227969553
11,3.6491745283018866,3.613779162869854
12,3.650482753537736,3.6121216867227703
