Layer,Baseline,Conditional
1,3.5938220277658663,3.556481642755146
2,3.6160471999624786,3.5842674608704974
3,3.635820077990995,3.6010758938143224
4,3.6465769223038165,3.6144487698327614
5,3.6379264713765007,3.60512284921741
6,3.652852969554031,3.6107828915630362
7,3.6433138970036447,3.6107828915630362
8,3.634733798777873,3.6107828915630362
9,3.620652370551029,3.6107828915630362
10,3.6244036771012005,3.6107828915630362
11,3.6497846704813464,3.6252144082332762
12,3.6599045715855487,3.5931461393117496
